season,asof,location,gamma,g_raw,w,g_hat,r_star_raw,r_star,clipped_low,clipped_high,reason
2023-24,2024-02-10,Wyoming,2.1875,-0.25489224962879,0.32291666666666663,-0.08230895560929676,0.9623730488643215,0.9623730488643215,False,False,ok
2023-24,2024-02-17,Alaska,2.1875,-1.7047480922384253,0.09792284866468842,-0.16693378944767961,0.9236874105382036,0.9236874105382036,False,False,ok
2023-24,2024-02-17,California,2.1875,-0.2334874220637797,0.41555986571715475,-0.09702800175946893,0.9556443420528142,0.9556443420528142,False,False,ok
2023-24,2024-02-17,New York,2.1875,0.11302338840339576,0.42206733225835075,0.047703480026220664,1.0218073051548437,1.0218073051548437,False,False,ok
2023-24,2024-02-17,Pennsylvania,2.1875,0.15348290016972221,0.41819900214348554,0.06418639569706604,1.0293423523186587,1.0293423523186587,False,False,ok
2023-24,2024-02-17,Vermont,2.1875,0.04879016416943216,0.27510917030567683,0.013422621583730244,1.0061360555811338,1.0061360555811338,False,False,ok
2023-24,2024-02-17,Wyoming,2.1875,0.2876820724517808,0.3289036544850498,0.09461968495922359,1.0432547131242165,1.0432547131242165,False,False,ok
2023-24,2024-02-24,Alaska,2.1875,1.6094379124341005,0.0967741935483871,0.15575205604200973,1.0712009399049187,1.0712009399049187,False,False,ok
2023-24,2024-02-24,California,2.1875,-0.19801288658863037,0.4128963563191424,-0.08175879937668105,0.9626245488563744,0.9626245488563744,False,False,ok
2023-24,2024-02-24,New York,2.1875,0.010075651988741718,0.4224900926178274,0.0042568631419084854,1.0019459945791582,1.0019459945791582,False,False,ok
2023-24,2024-02-24,Pennsylvania,2.1875,-0.016393809775675727,0.418763658191163,-0.006865131753352017,0.9968616540556106,0.9968616540556106,False,False,ok
2023-24,2024-02-24,Vermont,2.1875,0.5108256237659905,0.2985781990521327,0.15252139477373175,1.0697240661822773,1.0697240661822773,False,False,ok
2023-24,2024-02-24,Wyoming,2.1875,-0.6486954179891113,0.3109381401065137,-0.20170414676515178,0.9077923900502163,0.9077923900502163,False,False,ok
2023-24,2024-03-02,Alaska,2.1875,1.01160091167848,0.14537444933920704,0.14706092548629887,1.0672278516508795,1.0672278516508795,False,False,ok
2023-24,2024-03-02,California,2.1875,-0.14008879317068157,0.412025944399074,-0.05772021730587662,0.9736136149458849,0.9736136149458849,False,False,ok
2023-24,2024-03-02,New York,2.1875,-0.04879016416943216,0.42237120677487644,-0.0206075605189874,0.9905794009056058,0.9905794009056058,False,False,ok
2023-24,2024-03-02,Pennsylvania,2.1875,0.10700187835705677,0.4192323534363455,0.044858649285738475,1.0205068111020519,1.0205068111020519,False,False,ok
2023-24,2024-03-02,Vermont,2.1875,0.03774032798284699,0.29940290019903326,0.01129956365252712,1.0051655148125838,1.0051655148125838,False,False,ok
2023-24,2024-03-02,Wyoming,2.1875,0.0,0.30111524163568776,0.0,1.0,1.0,False,False,ok
2023-24,2024-03-09,Alaska,2.1875,-0.7884573603642704,0.16097560975609754,-0.12692240435132154,0.9419783294393959,0.9419783294393959,False,False,ok
2023-24,2024-03-09,California,2.1875,-0.27541197985996657,0.40853733546561694,-0.1125160764073009,0.9485640793566624,0.9485640793566624,False,False,ok
2023-24,2024-03-09,New York,2.1875,-0.2876820724517808,0.42129517341741446,-0.12119906860265418,0.9445947114959296,0.9445947114959296,False,False,ok
2023-24,2024-03-09,Pennsylvania,2.1875,-0.06453852113757108,0.41946538725154214,-0.027071675761613092,0.9876243767946912,0.9876243767946912,False,False,ok
2023-24,2024-03-09,Vermont,2.1875,-0.06899287148695166,0.30731707317073165,-0.021202687335014406,0.9903073429325648,0.9903073429325648,False,False,ok
2023-24,2024-03-09,Wyoming,2.1875,-0.5877866649021191,0.2691029900332226,-0.1581751490268161,0.9276913604448841,0.9276913604448841,False,False,ok
2023-24,2024-03-16,Alaska,2.1875,0.47000362924573547,0.15,0.07050054438686032,1.032228820291136,1.032228820291136,False,False,ok
2023-24,2024-03-16,California,2.1875,-0.10752034371125685,0.40483693920186964,-0.04352820684999822,0.9801013911542865,0.9801013911542865,False,False,ok
2023-24,2024-03-16,New York,2.1875,-0.3040619924704586,0.4190913977200709,-0.1274297654179942,0.9417463929517741,0.9417463929517741,False,False,ok
2023-24,2024-03-16,Pennsylvania,2.1875,-0.2935702150770032,0.4176373973287418,-0.12260590055799857,0.9439515883163435,0.9439515883163435,False,False,ok
2023-24,2024-03-16,Vermont,2.1875,-0.1892419996385284,0.2986270022883295,-0.05651277105910287,0.9741655903729816,0.9741655903729816,False,False,ok
2023-24,2024-03-16,Wyoming,2.1875,-0.3101549283038394,0.2255125284738041,-0.06994382210041025,0.9680256813255268,0.9680256813255268,False,False,ok
2023-24,2024-03-23,Alaska,2.1875,0.2006706954621511,0.1989283322170127,0.03991908677311378,1.018248725381995,1.018248725381995,False,False,ok
2023-24,2024-03-23,California,2.1875,-0.10008345855698231,0.4029247858772488,-0.0403261061089266,0.9815652086359192,0.9815652086359192,False,False,ok
2023-24,2024-03-23,New York,2.1875,-0.12937913752375518,0.4162282040023517,-0.05385124604688589,0.9753822875214236,0.9753822875214236,False,False,ok
2023-24,2024-03-23,Pennsylvania,2.1875,-0.07598590697792229,0.4152042165939554,-0.0315496689789494,0.9855772941810517,0.9855772941810517,False,False,ok
2023-24,2024-03-23,Vermont,2.1875,-0.13353139262452274,0.28378378378378377,-0.0378940438529051,0.9826770085243862,0.9826770085243862,False,False,ok
2023-24,2024-03-23,Wyoming,2.1875,-0.7884573603642704,0.16097560975609754,-0.12692240435132154,0.9419783294393959,0.9419783294393959,False,False,ok
2023-24,2024-03-30,Alaska,2.1875,-0.09531017980432477,0.20496894409937885,-0.01953562691641439,0.9910694276953534,0.9910694276953534,False,False,ok
2023-24,2024-03-30,California,2.1875,0.022599831917240465,0.4025745924989826,0.00909811812462858,1.0041591397141159,1.0041591397141159,False,False,ok
2023-24,2024-03-30,New York,2.1875,0.06506359334706246,0.41568336221360397,0.0270458532402056,1.012363818624094,1.012363818624094,False,False,ok
2023-24,2024-03-30,Pennsylvania,2.1875,-0.26670894907150267,0.41285064613444994,-0.11011096195400998,0.9496635602495954,0.9496635602495954,False,False,ok
2023-24,2024-03-30,Vermont,2.1875,0.054067221270275745,0.2648425400103252,0.01431930021252011,1.0065459658114377,1.0065459658114377,False,False,ok
2023-24,2024-03-30,Wyoming,2.1875,0.7884573603642704,0.16097560975609754,0.12692240435132154,1.058021670560604,1.058021670560604,False,False,ok
2023-24,2024-04-06,Alaska,2.1875,-0.6931471805599452,0.13636363636363638,-0.09452007007635617,0.9567908251079514,0.9567908251079514,False,False,ok
2023-24,2024-04-06,California,2.1875,-0.21489040955748973,0.40026860276075166,-0.08601388398026209,0.9606793673233087,0.9606793673233087,False,False,ok
2023-24,2024-04-06,New York,2.1875,0.05001042057466165,0.4166594284721619,0.02083731325429097,1.0095256289162473,1.0095256289162473,False,False,ok
2023-24,2024-04-06,Pennsylvania,2.1875,-0.022989518224698635,0.4105902777777778,-0.009439272673856297,0.9956849039205229,0.9956849039205229,False,False,ok
2023-24,2024-04-06,Vermont,2.1875,-0.5108256237659905,0.21259842519685038,-0.10860072316284837,0.950353955125555,0.950353955125555,False,False,ok
2023-24,2024-04-06,Wyoming,2.1875,-0.45198512374305744,0.18347895154884827,-0.08292975662005263,0.9620892541165473,0.9620892541165473,False,False,ok
2023-24,2024-04-13,Alaska,2.1875,0.13353139262452252,0.1693548387096774,0.022614187460604618,1.010337914267705,1.010337914267705,False,False,ok
2023-24,2024-04-13,California,2.1875,0.16653768909269218,0.40022791095193516,0.06665303140033106,1.0304699572115799,1.0304699572115799,False,False,ok
2023-24,2024-04-13,New York,2.1875,-0.17795155712283606,0.41588095947790343,-0.074006664316832,0.966168382026591,0.966168382026591,False,False,ok
2023-24,2024-04-13,Pennsylvania,2.1875,-0.26975585618362885,0.40771480980368036,-0.10998345759733719,0.949721847955503,0.949721847955503,False,False,ok
2023-24,2024-04-13,Vermont,2.1875,0.5753641449035616,0.2151394422310757,0.12378352121431206,1.056586752555114,1.056586752555114,False,False,ok
2023-24,2024-04-13,Wyoming,2.1875,-0.33647223662121295,0.14482758620689656,-0.04873046185548602,0.9777232174374921,0.9777232174374921,False,False,ok
2023-24,2024-04-20,Alaska,2.1875,-1.3862943611198904,0.09374999999999999,-0.1299650963549897,0.9405873845234333,0.9405873845234333,False,False,ok
2023-24,2024-04-20,California,2.1875,-0.1072455303535973,0.40120033643634084,-0.043026942859157036,0.9803305404072425,0.9803305404072425,False,False,ok
2023-24,2024-04-20,New York,2.1875,-0.5227359798609061,0.4113183053270127,-0.21501087736984334,0.9017093132023574,0.9017093132023574,False,False,ok
2023-24,2024-04-20,Pennsylvania,2.1875,-0.2709871938796109,0.4017720362290926,-0.10887507667701916,0.9502285363762198,0.9502285363762198,False,False,ok
2023-24,2024-04-20,Vermont,2.1875,-0.47000362924573524,0.2222222222222222,-0.10444525094349671,0.9522535995686872,0.9522535995686872,False,False,ok
2023-24,2024-04-20,Wyoming,2.1875,-0.916290731874155,0.08571428571428572,-0.07853920558921329,0.9640963631592168,0.9640963631592168,False,False,ok
2023-24,2024-04-27,Alaska,2.1875,0.4054651081081645,0.0743801652892562,0.030158561760111408,1.0137867710903365,1.0137867710903365,False,False,ok
2023-24,2024-04-27,California,2.1875,-0.019672765598705233,0.3986901210437883,-0.007843337297813864,0.9964144743781422,0.9964144743781422,False,False,ok
2023-24,2024-04-27,New York,2.1875,-0.2861471527336974,0.40378314820945443,-0.11554139818198393,0.9471810751168074,0.9471810751168074,False,False,ok
