Reff__FREE	eps1__FREE	phi1__FREE	theta__FREE	mult__FREE	r__FREE
1.024154974286443975e+00 1.138814236089745052e-01 3.669702084922543150e+01 4.455346770974275006e-01 4.049586099284093743e-01 3.512858907116416418e+01
1.030203553884279977e+00 1.335272800122394021e-01 3.097468931670713133e+01 3.725233535626533699e-01 4.395285229065273302e-01 3.903757269336091440e+01
1.030203553884279977e+00 1.335272800122394021e-01 3.097468931670713133e+01 3.725233535626533699e-01 4.395285229065273302e-01 3.903757269336091440e+01
1.045882989246777139e+00 1.726272587460938590e-01 3.415840032948099747e+01 4.532502154194656407e-01 3.965725569962134656e-01 3.627546209805944244e+01
1.045882989246777139e+00 1.726272587460938590e-01 3.415840032948099747e+01 4.532502154194656407e-01 3.965725569962134656e-01 3.627546209805944244e+01
1.032001329296358572e+00 1.409843803129340045e-01 3.541542710858335141e+01 4.044680478743725160e-01 3.985386682542147452e-01 3.613249614932149001e+01
1.032001329296358572e+00 1.409843803129340045e-01 3.541542710858335141e+01 4.044680478743725160e-01 3.985386682542147452e-01 3.613249614932149001e+01
9.886181754971388180e-01 1.311262914399544399e-01 3.996331161955697553e+01 4.436706315045778615e-01 4.173371718689338761e-01 3.758723875671007164e+01
9.886181754971388180e-01 1.311262914399544399e-01 3.996331161955697553e+01 4.436706315045778615e-01 4.173371718689338761e-01 3.758723875671007164e+01
1.005083660893601349e+00 1.396897657544212412e-01 3.319876055076183263e+01 4.265146892122403388e-01 3.852384751926359319e-01 3.478830273131279682e+01
1.013321606418834619e+00 1.435219834831172325e-01 3.914532113745678288e+01 4.386859618998017463e-01 4.021214024468613424e-01 3.745678059829077711e+01
1.013321606418834619e+00 1.435219834831172325e-01 3.914532113745678288e+01 4.386859618998017463e-01 4.021214024468613424e-01 3.745678059829077711e+01
1.099943264026499223e+00 1.458875533102133581e-01 3.187912469351749323e+01 5.143427394244812767e-01 3.867861335610764950e-01 3.072374737949275669e+01
1.098690107157921814e+00 1.182474953466402662e-01 3.418003551950736352e+01 4.943964614602224250e-01 3.453745173752167386e-01 3.040716127543827696e+01
1.033666981594702161e+00 1.055412508931002358e-01 3.650470297914268514e+01 4.520198937432208242e-01 1.992190588476460966e-01 3.536661012126374715e+01
1.093721408039917131e+00 1.265813424060111270e-01 3.376514858713091627e+01 4.618147471862004139e-01 2.181616874198248901e-01 3.089936530009807214e+01
1.093721408039917131e+00 1.265813424060111270e-01 3.376514858713091627e+01 4.618147471862004139e-01 2.181616874198248901e-01 3.089936530009807214e+01
1.125257726493275268e+00 1.211299244253895152e-01 3.583710815893493162e+01 3.235064139759182278e-01 2.147006449154944263e-01 3.576325592292851496e+01
1.101579205954655416e+00 1.775330747483842148e-02 3.417791455574478476e+01 4.042527304138329725e-01 3.288901091443985347e-01 3.297743146404462067e+01
1.101579205954655416e+00 1.775330747483842148e-02 3.417791455574478476e+01 4.042527304138329725e-01 3.288901091443985347e-01 3.297743146404462067e+01
1.064923690411957224e+00 8.783937183351320233e-02 3.768261962560270462e+01 4.839665987998396646e-01 1.447158374667229519e-01 3.154962490737518621e+01
1.069661611464657325e+00 8.440018911965990744e-02 4.269090436179573800e+01 4.581494959137620837e-01 1.858634441512835578e-01 3.164045389947899523e+01
1.069661611464657325e+00 8.440018911965990744e-02 4.269090436179573800e+01 4.581494959137620837e-01 1.858634441512835578e-01 3.164045389947899523e+01
1.069557847926891903e+00 7.240008587575828825e-02 4.183826508341920913e+01 4.713481766794552774e-01 1.740131993657284548e-01 3.088156294942084656e+01
1.040597338150734075e+00 7.204155640867851429e-02 4.537381112683782192e+01 4.420229677377902067e-01 1.697629105190628374e-01 3.146943364475323435e+01
1.040597338150734075e+00 7.204155640867851429e-02 4.537381112683782192e+01 4.420229677377902067e-01 1.697629105190628374e-01 3.146943364475323435e+01
